date,cough,flu,tamiflu,sore throat,week_number,year
2018-03-04,40,14,39,28,9,2018
2018-03-11,39,12,29,29,10,2018
2018-03-18,39,11,24,28,11,2018
2018-03-25,37,10,24,28,12,2018
2018-04-01,37,9,17,29,13,2018
2018-04-08,34,8,14,26,14,2018
2018-04-15,33,6,10,29,15,2018
2018-04-22,33,6,8,27,16,2018
2018-04-29,33,5,6,27,17,2018
2018-05-06,32,4,5,30,18,2018
2018-05-13,32,4,3,28,19,2018
2018-05-20,31,4,3,27,20,2018
2018-05-27,31,4,2,28,21,2018
2018-06-03,30,4,2,27,22,2018
2018-06-10,28,4,2,25,23,2018
2018-06-17,26,4,2,25,24,2018
2018-06-24,24,3,2,23,25,2018
2018-07-01,23,3,3,25,26,2018
2018-07-08,23,3,2,24,27,2018
2018-07-15,20,3,1,21,28,2018
2018-07-22,21,3,2,23,29,2018
2018-07-29,22,3,1,22,30,2018
2018-08-05,23,3,1,24,31,2018
2018-08-12,21,3,1,23,32,2018
2018-08-19,24,4,2,25,33,2018
2018-08-26,26,5,2,26,34,2018
2018-09-02,29,7,2,28,35,2018
2018-09-09,31,9,3,28,36,2018
2018-09-16,34,10,3,26,37,2018
2018-09-23,41,14,5,27,38,2018
2018-09-30,35,17,5,25,39,2018
2018-10-07,35,18,4,26,40,2018
2018-10-14,36,21,6,26,41,2018
2018-10-21,37,18,7,27,42,2018
2018-10-28,40,16,7,27,43,2018
2018-11-04,38,13,7,28,44,2018
2018-11-11,44,13,7,30,45,2018
2018-11-18,46,11,9,31,46,2018
2018-11-25,46,12,10,32,47,2018
2018-12-02,47,11,11,28,48,2018
2018-12-09,48,12,13,30,49,2018
2018-12-16,52,14,23,35,50,2018
2018-12-23,60,18,30,43,51,2018
2018-12-30,59,19,28,38,52,2018
2019-01-06,52,18,26,30,1,2019
2019-01-13,48,16,33,29,2,2019
2019-01-20,48,16,41,30,3,2019
2019-01-27,48,18,53,32,4,2019
2019-02-03,49,22,58,31,5,2019
2019-02-10,48,21,67,32,6,2019
2019-02-17,49,21,62,34,7,2019
2019-02-24,48,18,58,31,8,2019
2019-03-03,47,18,54,30,9,2019
2019-03-10,47,17,53,31,10,2019
2019-03-17,46,14,42,30,11,2019
2019-03-24,44,12,34,30,12,2019
2019-03-31,44,10,24,29,13,2019
2019-04-07,40,8,17,28,14,2019
2019-04-14,38,7,13,30,15,2019
2019-04-21,37,6,10,28,16,2019
2019-04-28,37,6,7,28,17,2019
2019-05-05,37,5,5,29,18,2019
2019-05-12,37,5,5,31,19,2019
2019-05-19,36,4,4,30,20,2019
2019-05-26,31,4,3,29,21,2019
2019-06-02,33,4,3,28,22,2019
2019-06-09,30,3,3,26,23,2019
2019-06-16,32,3,2,25,24,2019
2019-06-23,28,3,2,25,25,2019
2019-06-30,25,3,2,24,26,2019
2019-07-07,26,3,2,21,27,2019
2019-07-14,24,3,1,20,28,2019
2019-07-21,23,3,2,22,29,2019
2019-07-28,24,3,2,21,30,2019
2019-08-04,25,3,1,22,31,2019
2019-08-11,24,4,2,23,32,2019
2019-08-18,26,5,2,24,33,2019
2019-08-25,27,5,3,26,34,2019
2019-09-01,31,6,3,25,35,2019
2019-09-08,31,8,3,29,36,2019
2019-09-15,32,11,4,27,37,2019
2019-09-22,36,15,5,27,38,2019
2019-09-29,38,18,6,27,39,2019
2019-10-06,36,21,7,23,40,2019
2019-10-13,39,19,8,25,41,2019
2019-10-20,44,18,8,27,42,2019
2019-10-27,40,15,8,25,43,2019
2019-11-03,47,16,11,28,44,2019
2019-11-10,47,15,13,29,45,2019
2019-11-17,49,16,17,30,46,2019
2019-11-24,51,13,18,33,47,2019
2019-12-01,51,16,19,33,48,2019
2019-12-08,50,17,27,30,49,2019
2019-12-15,56,20,46,36,50,2019
2019-12-22,71,28,73,47,51,2019
2019-12-29,70,28,61,45,52,2019
2020-01-05,58,28,50,36,1,2020
2020-01-12,52,27,69,29,2,2020
2020-01-19,55,32,74,32,3,2020
2020-01-26,59,44,84,36,4,2020
2020-02-02,60,40,100,40,5,2020
2020-02-09,56,35,94,40,6,2020
2020-02-16,54,30,80,36,7,2020
2020-02-23,55,48,69,37,8,2020
2020-03-01,61,60,69,46,9,2020
2020-03-08,79,100,59,67,10,2020
2020-03-15,100,90,37,100,11,2020
2020-03-22,89,67,19,81,12,2020
2020-03-29,69,56,10,69,13,2020
2020-04-05,56,44,7,50,14,2020
2020-04-12,37,31,5,34,15,2020
2020-04-19,32,31,4,27,16,2020
2020-04-26,29,23,5,23,17,2020
2020-05-03,27,19,3,22,18,2020
2020-05-10,25,18,3,21,19,2020
2020-05-17,22,16,2,22,20,2020
2020-05-24,21,15,2,22,21,2020
2020-05-31,18,6,1,19,22,2020
2020-06-07,18,7,1,21,23,2020
2020-06-14,21,8,2,24,24,2020
2020-06-21,23,11,2,30,25,2020
2020-06-28,27,19,2,33,26,2020
2020-07-05,27,13,2,35,27,2020
2020-07-12,29,16,3,38,28,2020
2020-07-19,27,14,2,32,29,2020
2020-07-26,25,12,2,32,30,2020
2020-08-02,25,11,2,30,31,2020
2020-08-09,24,13,2,29,32,2020
2020-08-16,25,14,1,27,33,2020
2020-08-23,22,12,1,25,34,2020
2020-08-30,23,14,2,25,35,2020
2020-09-06,23,17,2,26,36,2020
2020-09-13,23,19,2,25,37,2020
2020-09-20,24,23,2,26,38,2020
2020-09-27,25,24,2,24,39,2020
2020-10-04,29,30,2,29,40,2020
2020-10-11,29,23,3,28,41,2020
2020-10-18,31,23,3,28,42,2020
2020-10-25,30,21,3,28,43,2020
2020-11-01,28,14,2,26,44,2020
2020-11-08,32,16,3,29,45,2020
2020-11-15,35,20,3,31,46,2020
2020-11-22,34,14,2,29,47,2020
2020-11-29,34,15,3,30,48,2020
2020-12-06,32,16,3,26,49,2020
2020-12-13,34,15,6,28,50,2020
2020-12-20,33,12,4,34,51,2020
2020-12-27,34,13,3,31,52,2020
2021-01-03,32,11,3,28,1,2021
2021-01-10,28,10,3,24,2,2021
2021-01-17,28,10,2,24,3,2021
2021-01-24,28,9,2,24,4,2021
2021-01-31,27,8,2,25,5,2021
2021-02-07,27,7,2,24,6,2021
2021-02-14,24,7,2,24,7,2021
2021-02-21,24,9,2,23,8,2021
2021-02-28,24,7,2,24,9,2021
2021-03-07,25,7,2,22,10,2021
2021-03-14,26,6,1,22,11,2021
2021-03-21,27,6,1,26,12,2021
2021-03-28,28,6,1,26,13,2021
2021-04-04,30,7,2,28,14,2021
2021-04-11,31,7,2,26,15,2021
2021-04-18,32,6,2,27,16,2021
2021-04-25,33,6,2,27,17,2021
2021-05-02,32,5,1,26,18,2021
2021-05-09,33,5,2,29,19,2021
2021-05-16,36,5,1,27,20,2021
2021-05-23,34,4,1,27,21,2021
2021-05-30,34,10,1,27,22,2021
2021-06-06,34,4,1,28,23,2021
2021-06-13,36,4,1,28,24,2021
2021-06-20,35,4,1,29,25,2021
2021-06-27,36,4,2,30,26,2021
2021-07-04,37,4,1,32,27,2021
2021-07-11,41,4,2,33,28,2021
2021-07-18,42,5,1,36,29,2021
2021-07-25,44,7,2,37,30,2021
2021-08-01,44,8,2,38,31,2021
2021-08-08,45,9,2,38,32,2021
2021-08-15,46,9,2,40,33,2021
2021-08-22,48,10,2,44,34,2021
2021-08-29,48,10,2,45,35,2021
2021-09-05,49,11,2,45,36,2021
2021-09-12,47,13,2,44,37,2021
2021-09-19,46,17,2,43,38,2021
2021-09-26,46,18,4,43,39,2021
2021-10-03,48,18,2,41,40,2021
2021-10-10,48,19,3,40,41,2021
2021-10-17,48,16,2,37,42,2021
2021-10-24,48,14,3,39,43,2021
2021-10-31,48,15,5,45,44,2021
2021-11-07,56,14,5,44,45,2021
2021-11-14,57,15,8,45,46,2021
2021-11-21,55,12,8,40,47,2021
2021-11-28,57,15,10,43,48,2021
2021-12-05,55,13,11,41,49,2021
2021-12-12,60,15,16,44,50,2021
2021-12-19,72,19,18,68,51,2021
2021-12-26,90,23,16,89,52,2021
2022-01-02,91,23,11,87,1,2022
2022-01-09,78,16,10,73,2,2022
2022-01-16,61,11,6,55,3,2022
2022-01-23,52,9,6,43,4,2022
2022-01-30,45,7,5,32,5,2022
2022-02-06,42,7,4,31,6,2022
2022-02-13,37,7,6,30,7,2022
2022-02-20,39,7,6,28,8,2022
2022-02-27,40,7,7,29,9,2022
2022-03-06,39,7,8,31,10,2022
2022-03-13,43,8,9,35,11,2022
2022-03-20,43,8,10,35,12,2022
2022-03-27,43,8,10,36,13,2022
2022-04-03,46,9,11,35,14,2022
2022-04-10,47,9,11,38,15,2022
2022-04-17,45,9,9,39,16,2022
2022-04-24,46,9,9,37,17,2022
2022-05-01,47,8,9,38,18,2022
2022-05-08,51,8,10,44,19,2022
2022-05-15,54,8,9,45,20,2022
2022-05-22,52,7,9,45,21,2022
2022-05-29,54,6,8,47,22,2022
2022-06-05,50,6,7,44,23,2022
2022-06-12,48,5,6,43,24,2022
2022-06-19,49,4,5,43,25,2022
2022-06-26,46,4,4,44,26,2022
2022-07-03,44,6,3,45,27,2022
2022-07-10,44,4,3,40,28,2022
2022-07-17,42,4,3,41,29,2022
2022-07-24,42,4,2,40,30,2022
2022-07-31,40,4,2,39,31,2022
2022-08-07,39,4,2,40,32,2022
2022-08-14,42,4,2,38,33,2022
2022-08-21,44,7,2,43,34,2022
2022-08-28,43,7,3,44,35,2022
2022-09-04,46,8,3,44,36,2022
2022-09-11,48,10,3,41,37,2022
2022-09-18,47,12,4,42,38,2022
2022-09-25,50,13,5,41,39,2022
2022-10-02,54,16,8,41,40,2022
2022-10-09,56,20,10,42,41,2022
2022-10-16,60,22,14,44,42,2022
2022-10-23,66,26,25,45,43,2022
2022-10-30,71,27,38,50,44,2022
2022-11-06,73,25,38,48,45,2022
2022-11-13,74,26,43,51,46,2022
2022-11-20,86,28,61,57,47,2022
2022-11-27,86,30,59,55,48,2022
2022-12-04,78,30,57,50,49,2022
2022-12-11,79,28,58,54,50,2022
2022-12-18,81,26,56,61,51,2022
2022-12-25,84,22,38,59,52,2022
2023-01-01,68,15,21,48,1,2023
2023-01-08,54,12,13,40,2,2023
2023-01-15,50,10,10,40,3,2023
2023-01-22,51,9,9,43,4,2023
2023-01-29,51,8,8,44,5,2023
2023-02-05,55,9,8,46,6,2023
2023-02-12,51,8,6,43,7,2023
2023-02-19,54,8,6,42,8,2023
